Experiment,Best Epoch,Val Accuracy,Macro Recall,Macro F1,Pneumonia Recall,Pneumonia Precision,Pneumonia F1,Normal Recall,Normal Precision,Val Loss,Train Time (min)
model_efficientnet_b2,4,0.982993,0.982599,0.979016,0.983491,0.992857,0.988152,0.981707,,0.066649,0.0
lr_0.0005,14,0.982993,0.982599,0.979016,0.983491,0.992857,0.988152,0.981707,,0.077279,0.0
aug_aggressive,8,0.979592,0.98211,0.975,0.976415,0.995192,0.985714,0.987805,,0.074151,0.0
aug_light,8,0.979592,0.98211,0.975,0.976415,0.995192,0.985714,0.987805,,0.068916,0.0
aug_medium,6,0.981293,0.98142,0.976959,0.981132,0.99284,0.986951,0.981707,,0.063668,0.0
lr_0.001,11,0.981293,0.97955,0.976875,0.983491,0.990499,0.986982,0.97561,,0.07715,0.0
baseline_efficientnet,6,0.972789,0.979263,0.967016,0.964623,0.997561,0.980815,0.993902,,0.086631,0.0
model_resnet18,13,0.984694,0.9763,0.980793,0.995283,0.983683,0.989449,0.957317,,0.068669,0.0
model_densenet121,4,0.97619,0.976012,0.970728,0.976415,0.990431,0.983373,0.97561,,0.085592,0.0
full_resnet18,6,0.972789,0.975523,0.966785,0.96934,0.992754,0.980907,0.981707,,0.005857,0.0
model_resnet50,13,0.977891,0.975322,0.97267,0.981132,0.988124,0.984615,0.969512,,0.075336,0.0
model_efficientnet_b0,6,0.97619,0.974143,0.970622,0.978774,0.988095,0.983412,0.969512,,0.062031,0.0
lr_0.0001,8,0.977891,0.973453,0.972569,0.983491,0.985816,0.984652,0.963415,,0.056987,0.0
baseline_resnet18,9,0.972789,0.966176,0.966176,0.981132,0.981132,0.981132,0.95122,,0.079899,0.0
