Experiment,Best Epoch,Val Accuracy,Macro Recall,Macro F1,Pneumonia Recall,Pneumonia Precision,Pneumonia F1,Normal Recall,Normal Precision,Val Loss,Train Time (min)
aug_aggressive,51,0.988095,0.988006,0.985284,0.988208,0.995249,0.991716,0.987805,,0.007486,204.0
model_densenet121,13,0.982993,0.984468,0.979092,0.981132,0.995215,0.988124,0.987805,,0.004139,52.0
aug_light,13,0.979592,0.98398,0.975089,0.974057,0.997585,0.98568,0.993902,,0.010561,52.0
model_efficientnet_b0,27,0.984694,0.983778,0.981079,0.985849,0.992874,0.989349,0.981707,,0.003695,108.0
full_resnet18,10,0.981293,0.983289,0.977042,0.978774,0.995204,0.98692,0.987805,,0.002908,40.0
final_efficientnet_b2_512,38,0.979592,0.98211,0.975,0.976415,0.995192,0.985714,0.987805,,0.004094,152.0
aug_medium,27,0.981293,0.98142,0.976959,0.981132,0.99284,0.986951,0.981707,,0.003253,108.0
model_efficientnet_b2,20,0.982993,0.980729,0.978938,0.985849,0.990521,0.98818,0.97561,,0.00356,80.0
lr_0.0001,38,0.984694,0.980039,0.980938,0.990566,0.988235,0.989399,0.969512,,0.006474,152.0
lr_0.001,30,0.981293,0.97955,0.976875,0.983491,0.990499,0.986982,0.97561,,0.009583,120.0
model_resnet18,6,0.97449,0.978572,0.968916,0.96934,0.995157,0.982079,0.987805,,0.005331,24.0
lr_0.0005,9,0.97619,0.976012,0.970728,0.976415,0.990431,0.983373,0.97561,,0.004704,36.0
model_resnet50,8,0.97619,0.976012,0.970728,0.976415,0.990431,0.983373,0.97561,,0.005063,32.0
baseline_efficientnet,6,0.977891,0.975322,0.97267,0.981132,0.988124,0.984615,0.969512,,0.083072,24.0
baseline_resnet18,11,0.969388,0.967556,0.962365,0.971698,0.985646,0.978622,0.963415,,0.092216,44.0
